,u,i,ts,label,idx
0,1,472,1135313387.0,1.0,1
1,1,473,1135313411.0,1.0,2
2,1,473,1135313411.0,1.0,3
3,1,474,1135313453.0,1.0,4
4,2,475,1135429210.0,1.0,5
5,2,476,1135429236.0,1.0,6
6,2,477,1135429248.0,1.0,7
7,2,478,1135429371.0,1.0,8
8,2,479,1135429412.0,1.0,9
9,2,479,1135429412.0,1.0,10
10,2,480,1135429431.0,1.0,11
11,2,480,1135429431.0,1.0,12
12,2,481,1135429442.0,1.0,13
13,2,482,1135429466.0,1.0,14
14,2,483,1135429508.0,1.0,15
15,2,483,1135429508.0,1.0,16
16,2,484,1135429520.0,1.0,17
17,1,485,1136501635.0,1.0,18
18,1,486,1136560243.0,1.0,19
19,2,487,1136832886.0,1.0,20
20,2,487,1136832886.0,1.0,21
21,2,488,1136912921.0,1.0,22
22,2,488,1136912921.0,1.0,23
23,2,489,1136912950.0,1.0,24
24,1,490,1137096293.0,1.0,25
25,3,491,1137100891.0,1.0,26
26,3,492,1137100896.0,1.0,27
27,3,493,1137100901.0,1.0,28
28,3,494,1137100909.0,1.0,29
29,3,495,1137100913.0,1.0,30
30,3,496,1137100922.0,1.0,31
31,3,496,1137100922.0,1.0,32
32,3,497,1137100936.0,1.0,33
33,3,498,1137100941.0,1.0,34
34,3,499,1137100947.0,1.0,35
35,3,500,1137100950.0,1.0,36
36,3,501,1137100969.0,1.0,37
37,3,501,1137100969.0,1.0,38
38,3,502,1137100979.0,1.0,39
39,3,502,1137100979.0,1.0,40
40,3,503,1137100988.0,1.0,41
41,3,504,1137100995.0,1.0,42
42,3,504,1137100995.0,1.0,43
43,3,505,1137101007.0,1.0,44
44,3,505,1137101021.0,1.0,45
45,3,505,1137101021.0,1.0,46
46,3,491,1137101198.0,1.0,47
47,3,492,1137101207.0,1.0,48
48,3,506,1137101244.0,1.0,49
49,3,494,1137101252.0,1.0,50
50,3,507,1137101278.0,1.0,51
51,3,507,1137101278.0,1.0,52
52,3,508,1137101302.0,1.0,53
53,3,508,1137101302.0,1.0,54
54,3,508,1137101302.0,1.0,55
55,3,497,1137101312.0,1.0,56
56,3,498,1137101324.0,1.0,57
57,3,498,1137101324.0,1.0,58
58,3,498,1137101324.0,1.0,59
59,3,499,1137101378.0,1.0,60
60,3,499,1137101378.0,1.0,61
61,3,500,1137101403.0,1.0,62
62,3,500,1137101404.0,1.0,63
63,3,509,1137101446.0,1.0,64
64,3,509,1137101446.0,1.0,65
65,3,509,1137101446.0,1.0,66
66,3,509,1137101446.0,1.0,67
67,3,510,1137101474.0,1.0,68
68,3,510,1137101480.0,1.0,69
69,3,511,1137101501.0,1.0,70
70,3,507,1137101535.0,1.0,71
71,3,507,1137101544.0,1.0,72
72,3,498,1137101562.0,1.0,73
73,3,498,1137101562.0,1.0,74
74,3,505,1137101596.0,1.0,75
75,3,485,1137101607.0,1.0,76
76,3,512,1137101617.0,1.0,77
77,3,512,1137101617.0,1.0,78
78,3,512,1137101617.0,1.0,79
79,3,513,1137101644.0,1.0,80
80,3,513,1137101644.0,1.0,81
81,3,514,1137101681.0,1.0,82
82,3,514,1137101693.0,1.0,83
83,3,515,1137101727.0,1.0,84
84,3,515,1137101727.0,1.0,85
85,3,516,1137101751.0,1.0,86
86,3,516,1137101751.0,1.0,87
87,3,517,1137101755.0,1.0,88
88,3,518,1137101794.0,1.0,89
89,4,519,1137101806.0,1.0,90
