,u,i,ts,label,idx
0,2,3,1082008561.0,1.0,1
1,4,5,1082123439.0,1.0,2
2,6,3,1082381991.0,1.0,3
3,7,8,1082407219.0,1.0,4
4,9,8,1082407356.0,1.0,5
5,10,11,1082408003.0,1.0,6
6,10,12,1082408053.0,1.0,7
7,13,14,1082408788.0,1.0,8
8,10,15,1082409354.0,1.0,9
9,10,16,1082409424.0,1.0,10
10,10,17,1082409495.0,1.0,11
11,10,18,1082409753.0,1.0,12
12,10,15,1082409928.0,1.0,13
13,10,19,1082410160.0,1.0,14
14,20,19,1082410623.0,1.0,15
15,21,22,1082412544.0,1.0,16
16,20,23,1082417674.0,1.0,17
17,9,24,1082417843.0,1.0,18
18,10,25,1082418245.0,1.0,19
19,10,23,1082418256.0,1.0,20
20,26,22,1082434689.0,1.0,21
21,27,8,1082448725.0,1.0,22
22,28,29,1082457840.0,1.0,23
23,30,26,1082471683.0,1.0,24
24,31,32,1082485106.0,1.0,25
25,31,32,1082485111.0,1.0,26
26,31,32,1082485113.0,1.0,27
27,31,32,1082485116.0,1.0,28
28,33,34,1082485623.0,1.0,29
29,35,36,1082493130.0,1.0,30
30,35,34,1082493318.0,1.0,31
31,37,38,1082498549.0,1.0,32
32,39,40,1082506449.0,1.0,33
33,37,41,1082507157.0,1.0,34
34,42,16,1082507905.0,1.0,35
35,42,12,1082507954.0,1.0,36
36,42,15,1082508062.0,1.0,37
37,42,14,1082508096.0,1.0,38
38,42,40,1082509042.0,1.0,39
39,42,43,1082541811.0,1.0,40
40,42,44,1082543944.0,1.0,41
41,10,41,1082551300.0,1.0,42
42,45,46,1082553068.0,1.0,43
43,47,23,1082555305.0,1.0,44
44,45,47,1082555822.0,1.0,45
45,48,47,1082556108.0,1.0,46
46,49,47,1082557083.0,1.0,47
47,10,50,1082564155.0,1.0,48
48,37,51,1082565315.0,1.0,49
49,45,52,1082565351.0,1.0,50
50,33,53,1082565656.0,1.0,51
51,37,33,1082565722.0,1.0,52
52,54,55,1082565995.0,1.0,53
53,37,56,1082566145.0,1.0,54
54,57,58,1082566148.0,1.0,55
55,37,33,1082566285.0,1.0,56
56,37,59,1082566365.0,1.0,57
57,45,60,1082566520.0,1.0,58
58,52,59,1082566534.0,1.0,59
59,45,15,1082566672.0,1.0,60
60,37,57,1082566976.0,1.0,61
61,37,61,1082567317.0,1.0,62
62,57,62,1082567668.0,1.0,63
63,63,51,1082568009.0,1.0,64
64,37,61,1082568387.0,1.0,65
65,33,60,1082569055.0,1.0,66
66,37,61,1082569472.0,1.0,67
67,37,51,1082569513.0,1.0,68
68,42,64,1082570219.0,1.0,69
69,42,65,1082570268.0,1.0,70
70,42,66,1082570282.0,1.0,71
71,42,57,1082570300.0,1.0,72
72,42,62,1082570361.0,1.0,73
73,42,44,1082570378.0,1.0,74
74,42,53,1082570407.0,1.0,75
75,42,59,1082570438.0,1.0,76
76,42,60,1082570668.0,1.0,77
77,10,65,1082570724.0,1.0,78
78,10,59,1082570779.0,1.0,79
79,13,67,1082570819.0,1.0,80
80,33,59,1082570866.0,1.0,81
81,13,67,1082570868.0,1.0,82
82,68,33,1082571114.0,1.0,83
83,42,33,1082571171.0,1.0,84
84,68,33,1082571249.0,1.0,85
85,33,69,1082571281.0,1.0,86
86,69,57,1082571450.0,1.0,87
87,68,33,1082571468.0,1.0,88
88,68,33,1082571599.0,1.0,89
89,69,62,1082571618.0,1.0,90
90,68,33,1082571679.0,1.0,91
91,68,9,1082572296.0,1.0,92
92,70,68,1082572990.0,1.0,93
93,71,52,1082574767.0,1.0,94
94,45,51,1082574889.0,1.0,95
95,68,33,1082575954.0,1.0,96
96,72,59,1082576005.0,1.0,97
97,72,73,1082576081.0,1.0,98
98,52,59,1082576109.0,1.0,99
99,73,72,1082576849.0,1.0,100
100,74,75,1082577249.0,1.0,101
101,75,74,1082577319.0,1.0,102
102,74,75,1082577513.0,1.0,103
103,75,74,1082577572.0,1.0,104
104,35,59,1082577714.0,1.0,105
105,45,76,1082577717.0,1.0,106
106,45,76,1082577841.0,1.0,107
107,10,59,1082577894.0,1.0,108
108,74,75,1082577932.0,1.0,109
109,10,77,1082577939.0,1.0,110
110,33,78,1082578926.0,1.0,111
111,42,77,1082579706.0,1.0,112
112,42,79,1082579722.0,1.0,113
113,80,49,1082580094.0,1.0,114
114,80,64,1082580135.0,1.0,115
115,42,81,1082580218.0,1.0,116
116,80,59,1082580264.0,1.0,117
117,42,82,1082580272.0,1.0,118
118,80,71,1082580547.0,1.0,119
119,20,83,1082580971.0,1.0,120
120,20,73,1082581044.0,1.0,121
121,13,33,1082581066.0,1.0,122
122,20,65,1082581510.0,1.0,123
123,20,59,1082581630.0,1.0,124
124,20,59,1082581635.0,1.0,125
125,20,59,1082581637.0,1.0,126
126,20,53,1082581988.0,1.0,127
127,84,60,1082582060.0,1.0,128
128,52,71,1082582077.0,1.0,129
129,39,59,1082582431.0,1.0,130
130,42,59,1082583643.0,1.0,131
131,64,80,1082583685.0,1.0,132
132,42,64,1082583693.0,1.0,133
133,68,60,1082583959.0,1.0,134
134,42,64,1082584335.0,1.0,135
135,42,59,1082584702.0,1.0,136
136,45,85,1082585266.0,1.0,137
137,20,86,1082585806.0,1.0,138
138,20,73,1082585894.0,1.0,139
139,4,85,1082586642.0,1.0,140
140,20,9,1082586796.0,1.0,141
141,20,59,1082586871.0,1.0,142
142,85,87,1082587433.0,1.0,143
143,84,59,1082587603.0,1.0,144
144,37,61,1082587632.0,1.0,145
145,87,49,1082587831.0,1.0,146
146,88,64,1082588109.0,1.0,147
147,37,89,1082588289.0,1.0,148
148,88,9,1082588550.0,1.0,149
149,37,90,1082588983.0,1.0,150
150,91,57,1082589002.0,1.0,151
151,37,91,1082589059.0,1.0,152
152,37,85,1082589118.0,1.0,153
153,92,93,1082589175.0,1.0,154
154,37,94,1082589360.0,1.0,155
155,92,93,1082589425.0,1.0,156
156,37,91,1082589441.0,1.0,157
157,92,93,1082589581.0,1.0,158
158,37,61,1082589801.0,1.0,159
159,37,85,1082590292.0,1.0,160
160,52,59,1082590412.0,1.0,161
161,95,85,1082590504.0,1.0,162
162,37,85,1082590870.0,1.0,163
163,95,85,1082590889.0,1.0,164
164,95,85,1082591264.0,1.0,165
165,70,85,1082591364.0,1.0,166
166,70,96,1082591395.0,1.0,167
167,88,9,1082591660.0,1.0,168
168,4,85,1082592049.0,1.0,169
169,4,85,1082592296.0,1.0,170
170,49,87,1082592817.0,1.0,171
171,85,9,1082593887.0,1.0,172
172,92,82,1082594822.0,1.0,173
173,97,89,1082594995.0,1.0,174
174,9,85,1082595973.0,1.0,175
175,85,9,1082596890.0,1.0,176
176,92,48,1082597173.0,1.0,177
177,98,99,1082597822.0,1.0,178
178,99,98,1082597976.0,1.0,179
179,98,99,1082598011.0,1.0,180
180,49,98,1082598120.0,1.0,181
181,100,9,1082598432.0,1.0,182
182,100,9,1082598446.0,1.0,183
183,98,49,1082598576.0,1.0,184
184,101,102,1082598793.0,1.0,185
185,103,98,1082598889.0,1.0,186
186,98,49,1082599200.0,1.0,187
187,98,103,1082599211.0,1.0,188
188,102,101,1082599573.0,1.0,189
189,49,59,1082599634.0,1.0,190
190,98,49,1082599663.0,1.0,191
191,104,73,1082602684.0,1.0,192
192,104,59,1082603045.0,1.0,193
193,105,60,1082605188.0,1.0,194
194,105,60,1082605197.0,1.0,195
195,104,73,1082607708.0,1.0,196
196,106,57,1082621116.0,1.0,197
197,107,73,1082621283.0,1.0,198
198,106,62,1082621566.0,1.0,199
199,106,9,1082621651.0,1.0,200
200,106,34,1082622103.0,1.0,201
201,106,108,1082622417.0,1.0,202
202,106,82,1082622850.0,1.0,203
203,45,103,1082623671.0,1.0,204
204,37,106,1082626917.0,1.0,205
205,37,105,1082627495.0,1.0,206
206,35,109,1082627779.0,1.0,207
207,35,110,1082628343.0,1.0,208
208,37,111,1082628540.0,1.0,209
209,112,113,1082629153.0,1.0,210
210,35,59,1082630061.0,1.0,211
211,37,114,1082630316.0,1.0,212
212,37,110,1082630340.0,1.0,213
213,80,110,1082631107.0,1.0,214
214,115,106,1082631276.0,1.0,215
215,102,116,1082631373.0,1.0,216
216,57,91,1082632175.0,1.0,217
217,57,106,1082632209.0,1.0,218
218,57,69,1082632251.0,1.0,219
219,30,59,1082633570.0,1.0,220
220,88,59,1082633810.0,1.0,221
221,45,117,1082634306.0,1.0,222
222,45,118,1082634880.0,1.0,223
223,45,118,1082634912.0,1.0,224
224,45,80,1082635439.0,1.0,225
225,81,59,1082635859.0,1.0,226
226,97,33,1082637030.0,1.0,227
227,119,101,1082637952.0,1.0,228
228,120,121,1082638288.0,1.0,229
229,120,121,1082638304.0,1.0,230
230,121,120,1082638375.0,1.0,231
231,121,76,1082638450.0,1.0,232
232,120,121,1082638549.0,1.0,233
233,121,120,1082638572.0,1.0,234
234,120,59,1082638648.0,1.0,235
235,75,74,1082639001.0,1.0,236
236,119,121,1082639596.0,1.0,237
237,122,109,1082640086.0,1.0,238
238,73,107,1082640310.0,1.0,239
239,45,93,1082641131.0,1.0,240
240,27,123,1082641546.0,1.0,241
241,45,80,1082643028.0,1.0,242
242,2,124,1082643822.0,1.0,243
243,97,125,1082645046.0,1.0,244
244,126,127,1082645132.0,1.0,245
245,37,105,1082646264.0,1.0,246
246,45,80,1082647818.0,1.0,247
247,45,80,1082648460.0,1.0,248
248,37,125,1082648598.0,1.0,249
249,37,128,1082649228.0,1.0,250
250,37,129,1082649279.0,1.0,251
251,45,80,1082649512.0,1.0,252
252,45,130,1082649626.0,1.0,253
253,45,117,1082649789.0,1.0,254
254,10,121,1082649932.0,1.0,255
255,80,59,1082650331.0,1.0,256
256,37,110,1082651446.0,1.0,257
257,125,110,1082651574.0,1.0,258
258,37,110,1082651746.0,1.0,259
259,125,62,1082651822.0,1.0,260
260,125,73,1082652024.0,1.0,261
261,37,110,1082652527.0,1.0,262
262,37,113,1082652868.0,1.0,263
263,125,86,1082653111.0,1.0,264
264,86,125,1082653225.0,1.0,265
265,33,131,1082653291.0,1.0,266
266,37,113,1082653325.0,1.0,267
267,125,86,1082653368.0,1.0,268
268,73,125,1082654256.0,1.0,269
269,125,9,1082654513.0,1.0,270
270,132,31,1082654841.0,1.0,271
271,100,127,1082655625.0,1.0,272
272,104,73,1082656004.0,1.0,273
273,104,73,1082656365.0,1.0,274
274,104,64,1082656642.0,1.0,275
275,104,118,1082656739.0,1.0,276
276,104,73,1082657123.0,1.0,277
277,132,31,1082659096.0,1.0,278
278,70,96,1082659786.0,1.0,279
279,70,125,1082659804.0,1.0,280
280,70,80,1082659815.0,1.0,281
281,133,31,1082659834.0,1.0,282
282,37,100,1082660167.0,1.0,283
283,37,134,1082660212.0,1.0,284
284,37,61,1082660254.0,1.0,285
285,37,135,1082660456.0,1.0,286
286,37,134,1082660529.0,1.0,287
287,37,82,1082660682.0,1.0,288
288,104,73,1082660959.0,1.0,289
289,104,136,1082661180.0,1.0,290
290,134,136,1082661264.0,1.0,291
291,136,134,1082661305.0,1.0,292
292,37,134,1082661315.0,1.0,293
293,104,136,1082661327.0,1.0,294
294,20,53,1082661550.0,1.0,295
295,134,136,1082661558.0,1.0,296
296,104,136,1082661626.0,1.0,297
297,104,136,1082661674.0,1.0,298
298,136,134,1082661680.0,1.0,299
299,134,136,1082661744.0,1.0,300
300,37,134,1082661758.0,1.0,301
301,37,134,1082662212.0,1.0,302
302,37,134,1082663009.0,1.0,303
303,10,110,1082665072.0,1.0,304
304,10,110,1082666066.0,1.0,305
305,63,137,1082667064.0,1.0,306
306,97,33,1082667612.0,1.0,307
307,138,139,1082668657.0,1.0,308
308,97,138,1082668856.0,1.0,309
309,20,121,1082669059.0,1.0,310
310,45,91,1082669070.0,1.0,311
311,97,138,1082669084.0,1.0,312
312,138,139,1082669093.0,1.0,313
313,20,140,1082669503.0,1.0,314
314,45,61,1082670054.0,1.0,315
315,45,89,1082670146.0,1.0,316
316,45,103,1082670217.0,1.0,317
317,45,91,1082670270.0,1.0,318
318,20,112,1082670279.0,1.0,319
319,45,91,1082670485.0,1.0,320
320,10,33,1082670509.0,1.0,321
321,45,91,1082670658.0,1.0,322
322,45,91,1082670829.0,1.0,323
323,104,64,1082671042.0,1.0,324
324,104,73,1082671089.0,1.0,325
325,39,87,1082671140.0,1.0,326
326,141,106,1082671177.0,1.0,327
327,104,73,1082671667.0,1.0,328
328,39,87,1082672160.0,1.0,329
329,39,102,1082672366.0,1.0,330
330,39,102,1082673121.0,1.0,331
331,39,102,1082673163.0,1.0,332
332,104,102,1082673258.0,1.0,333
333,39,102,1082673368.0,1.0,334
334,104,102,1082673375.0,1.0,335
335,39,62,1082674333.0,1.0,336
336,76,121,1082674337.0,1.0,337
337,39,82,1082674444.0,1.0,338
338,45,142,1082674586.0,1.0,339
339,45,142,1082674682.0,1.0,340
340,45,75,1082675157.0,1.0,341
341,45,128,1082675284.0,1.0,342
342,125,136,1082677447.0,1.0,343
343,141,125,1082677812.0,1.0,344
344,20,83,1082677904.0,1.0,345
345,20,83,1082678199.0,1.0,346
346,20,83,1082678323.0,1.0,347
347,106,57,1082678526.0,1.0,348
348,20,83,1082678584.0,1.0,349
349,125,136,1082678651.0,1.0,350
350,106,59,1082678715.0,1.0,351
351,106,64,1082678729.0,1.0,352
352,20,83,1082678732.0,1.0,353
353,106,62,1082678811.0,1.0,354
354,106,136,1082678995.0,1.0,355
355,125,136,1082679313.0,1.0,356
356,72,73,1082680214.0,1.0,357
357,136,125,1082680446.0,1.0,358
358,10,33,1082680581.0,1.0,359
359,64,106,1082680607.0,1.0,360
360,73,72,1082680842.0,1.0,361
361,143,59,1082680944.0,1.0,362
362,125,136,1082681030.0,1.0,363
363,125,136,1082681219.0,1.0,364
364,144,33,1082681372.0,1.0,365
365,145,100,1082681681.0,1.0,366
366,145,106,1082681822.0,1.0,367
367,145,122,1082681956.0,1.0,368
368,10,110,1082682060.0,1.0,369
369,104,110,1082683283.0,1.0,370
370,104,64,1082683465.0,1.0,371
371,104,64,1082684176.0,1.0,372
372,104,110,1082684314.0,1.0,373
373,49,82,1082684317.0,1.0,374
374,96,82,1082684499.0,1.0,375
375,146,49,1082684541.0,1.0,376
376,96,64,1082684551.0,1.0,377
377,146,96,1082684681.0,1.0,378
378,96,110,1082684685.0,1.0,379
379,146,96,1082684813.0,1.0,380
380,146,49,1082684949.0,1.0,381
381,146,96,1082685111.0,1.0,382
382,146,49,1082685314.0,1.0,383
383,146,49,1082685456.0,1.0,384
384,96,110,1082685527.0,1.0,385
385,97,49,1082685739.0,1.0,386
386,96,110,1082685872.0,1.0,387
387,97,96,1082686140.0,1.0,388
388,97,96,1082686308.0,1.0,389
389,97,49,1082686358.0,1.0,390
390,97,96,1082686527.0,1.0,391
391,106,145,1082687754.0,1.0,392
392,106,64,1082687768.0,1.0,393
393,7,147,1082688636.0,1.0,394
394,45,61,1082709203.0,1.0,395
395,45,106,1082709245.0,1.0,396
396,64,96,1082709668.0,1.0,397
397,45,33,1082711710.0,1.0,398
398,115,106,1082713081.0,1.0,399
399,35,110,1082713259.0,1.0,400
400,37,106,1082713415.0,1.0,401
401,37,110,1082713493.0,1.0,402
402,37,148,1082713985.0,1.0,403
403,45,33,1082714593.0,1.0,404
404,20,121,1082715559.0,1.0,405
405,10,137,1082716651.0,1.0,406
406,10,149,1082716671.0,1.0,407
407,10,150,1082716729.0,1.0,408
408,10,151,1082716776.0,1.0,409
409,10,152,1082716862.0,1.0,410
410,10,153,1082716954.0,1.0,411
411,10,154,1082716974.0,1.0,412
412,10,59,1082716991.0,1.0,413
413,10,59,1082717000.0,1.0,414
414,10,136,1082717023.0,1.0,415
415,10,23,1082717044.0,1.0,416
416,10,9,1082717142.0,1.0,417
417,10,155,1082717237.0,1.0,418
418,10,122,1082717357.0,1.0,419
419,2,136,1082717993.0,1.0,420
420,4,156,1082718237.0,1.0,421
421,37,110,1082718370.0,1.0,422
422,4,156,1082718430.0,1.0,423
423,31,133,1082718884.0,1.0,424
424,4,59,1082719401.0,1.0,425
425,69,57,1082721165.0,1.0,426
426,37,157,1082724270.0,1.0,427
427,132,31,1082725134.0,1.0,428
428,102,52,1082726116.0,1.0,429
429,102,35,1082726345.0,1.0,430
430,10,9,1082726568.0,1.0,431
431,37,74,1082727611.0,1.0,432
432,97,96,1082728281.0,1.0,433
433,10,77,1082729426.0,1.0,434
434,10,9,1082729655.0,1.0,435
435,10,158,1082730498.0,1.0,436
436,20,159,1082731120.0,1.0,437
437,10,59,1082731274.0,1.0,438
438,10,33,1082731606.0,1.0,439
439,45,130,1082735858.0,1.0,440
440,106,136,1082735879.0,1.0,441
441,106,130,1082735955.0,1.0,442
442,45,130,1082736123.0,1.0,443
443,45,130,1082736176.0,1.0,444
444,45,130,1082736216.0,1.0,445
445,52,102,1082736329.0,1.0,446
446,2,160,1082736365.0,1.0,447
447,45,75,1082737862.0,1.0,448
448,45,130,1082738036.0,1.0,449
449,161,73,1082740099.0,1.0,450
