src,dest,ts,weight
1,2,1082008561,1
3,4,1082123439,1
5,2,1082381991,1
6,7,1082407219,1
8,7,1082407356,1
9,10,1082408003,1
9,11,1082408053,1
12,13,1082408788,1
9,14,1082409354,1
9,15,1082409424,1
9,16,1082409495,1
9,17,1082409753,1
9,14,1082409928,1
9,18,1082410160,1
19,18,1082410623,1
20,21,1082412544,1
19,22,1082417674,1
8,23,1082417843,1
9,24,1082418245,1
9,22,1082418256,1
25,21,1082434689,1
26,7,1082448725,1
27,28,1082457840,1
29,25,1082471683,1
30,31,1082485106,1
30,31,1082485111,1
30,31,1082485113,1
30,31,1082485116,1
32,33,1082485623,1
34,35,1082493130,1
34,33,1082493318,1
36,37,1082498549,1
38,39,1082506449,1
36,40,1082507157,1
41,15,1082507905,1
41,11,1082507954,1
41,14,1082508062,1
41,13,1082508096,1
41,39,1082509042,1
41,42,1082541811,1
41,43,1082543944,1
9,40,1082551300,1
44,45,1082553068,1
46,22,1082555305,1
44,46,1082555822,1
47,46,1082556108,1
48,46,1082557083,1
9,49,1082564155,1
36,50,1082565315,1
44,51,1082565351,1
32,52,1082565656,1
36,32,1082565722,1
53,54,1082565995,1
36,55,1082566145,1
56,57,1082566148,1
36,32,1082566285,1
36,58,1082566365,1
44,59,1082566520,1
51,58,1082566534,1
44,14,1082566672,1
36,56,1082566976,1
36,60,1082567317,1
56,61,1082567668,1
62,50,1082568009,1
36,60,1082568387,1
32,59,1082569055,1
36,60,1082569472,1
36,50,1082569513,1
41,63,1082570219,1
41,64,1082570268,1
41,65,1082570282,1
41,56,1082570300,1
41,61,1082570361,1
41,43,1082570378,1
41,52,1082570407,1
41,58,1082570438,1
41,59,1082570668,1
9,64,1082570724,1
9,58,1082570779,1
12,66,1082570819,1
32,58,1082570866,1
12,66,1082570868,1
67,32,1082571114,1
41,32,1082571171,1
67,32,1082571249,1
32,68,1082571281,1
68,56,1082571450,1
67,32,1082571468,1
67,32,1082571599,1
68,61,1082571618,1
67,32,1082571679,1
67,8,1082572296,1
69,67,1082572990,1
70,51,1082574767,1
44,50,1082574889,1
67,32,1082575954,1
71,58,1082576005,1
71,72,1082576081,1
51,58,1082576109,1
72,71,1082576849,1
73,74,1082577249,1
74,73,1082577319,1
73,74,1082577513,1
74,73,1082577572,1
34,58,1082577714,1
44,75,1082577717,1
44,75,1082577841,1
9,58,1082577894,1
73,74,1082577932,1
9,76,1082577939,1
32,77,1082578926,1
41,76,1082579706,1
41,78,1082579722,1
79,48,1082580094,1
79,63,1082580135,1
41,80,1082580218,1
79,58,1082580264,1
41,81,1082580272,1
79,70,1082580547,1
19,82,1082580971,1
19,72,1082581044,1
12,32,1082581066,1
19,64,1082581510,1
19,58,1082581630,1
19,58,1082581635,1
19,58,1082581637,1
19,52,1082581988,1
83,59,1082582060,1
51,70,1082582077,1
38,58,1082582431,1
41,58,1082583643,1
63,79,1082583685,1
41,63,1082583693,1
67,59,1082583959,1
41,63,1082584335,1
41,58,1082584702,1
44,84,1082585266,1
19,85,1082585806,1
19,72,1082585894,1
3,84,1082586642,1
19,8,1082586796,1
19,58,1082586871,1
84,86,1082587433,1
83,58,1082587603,1
36,60,1082587632,1
86,48,1082587831,1
87,63,1082588109,1
36,88,1082588289,1
87,8,1082588550,1
36,89,1082588983,1
90,56,1082589002,1
36,90,1082589059,1
36,84,1082589118,1
91,92,1082589175,1
36,93,1082589360,1
91,92,1082589425,1
36,90,1082589441,1
91,92,1082589581,1
36,60,1082589801,1
36,84,1082590292,1
51,58,1082590412,1
94,84,1082590504,1
36,84,1082590870,1
94,84,1082590889,1
94,84,1082591264,1
69,84,1082591364,1
69,95,1082591395,1
87,8,1082591660,1
3,84,1082592049,1
3,84,1082592296,1
48,86,1082592817,1
84,8,1082593887,1
91,81,1082594822,1
96,88,1082594995,1
8,84,1082595973,1
84,8,1082596890,1
91,47,1082597173,1
97,98,1082597822,1
98,97,1082597976,1
97,98,1082598011,1
48,97,1082598120,1
99,8,1082598432,1
99,8,1082598446,1
97,48,1082598576,1
100,101,1082598793,1
102,97,1082598889,1
97,48,1082599200,1
97,102,1082599211,1
101,100,1082599573,1
48,58,1082599634,1
97,48,1082599663,1
103,72,1082602684,1
103,58,1082603045,1
104,59,1082605188,1
104,59,1082605197,1
103,72,1082607708,1
105,56,1082621116,1
106,72,1082621283,1
105,61,1082621566,1
105,8,1082621651,1
105,33,1082622103,1
105,107,1082622417,1
105,81,1082622850,1
44,102,1082623671,1
36,105,1082626917,1
36,104,1082627495,1
34,108,1082627779,1
34,109,1082628343,1
36,110,1082628540,1
111,112,1082629153,1
34,58,1082630061,1
36,113,1082630316,1
36,109,1082630340,1
79,109,1082631107,1
114,105,1082631276,1
101,115,1082631373,1
56,90,1082632175,1
56,105,1082632209,1
56,68,1082632251,1
29,58,1082633570,1
87,58,1082633810,1
44,116,1082634306,1
44,117,1082634880,1
44,117,1082634912,1
44,79,1082635439,1
80,58,1082635859,1
96,32,1082637030,1
118,100,1082637952,1
119,120,1082638288,1
119,120,1082638304,1
120,119,1082638375,1
120,75,1082638450,1
119,120,1082638549,1
120,119,1082638572,1
119,58,1082638648,1
74,73,1082639001,1
118,120,1082639596,1
121,108,1082640086,1
72,106,1082640310,1
44,92,1082641131,1
26,122,1082641546,1
44,79,1082643028,1
1,123,1082643822,1
96,124,1082645046,1
125,126,1082645132,1
36,104,1082646264,1
44,79,1082647818,1
44,79,1082648460,1
36,124,1082648598,1
36,127,1082649228,1
36,128,1082649279,1
44,79,1082649512,1
44,129,1082649626,1
44,116,1082649789,1
9,120,1082649932,1
79,58,1082650331,1
36,109,1082651446,1
124,109,1082651574,1
36,109,1082651746,1
124,61,1082651822,1
124,72,1082652024,1
36,109,1082652527,1
36,112,1082652868,1
124,85,1082653111,1
85,124,1082653225,1
32,130,1082653291,1
36,112,1082653325,1
124,85,1082653368,1
72,124,1082654256,1
124,8,1082654513,1
131,30,1082654841,1
99,126,1082655625,1
103,72,1082656004,1
103,72,1082656365,1
103,63,1082656642,1
103,117,1082656739,1
103,72,1082657123,1
131,30,1082659096,1
69,95,1082659786,1
69,124,1082659804,1
69,79,1082659815,1
132,30,1082659834,1
36,99,1082660167,1
36,133,1082660212,1
36,60,1082660254,1
36,134,1082660456,1
36,133,1082660529,1
36,81,1082660682,1
103,72,1082660959,1
103,135,1082661180,1
133,135,1082661264,1
135,133,1082661305,1
36,133,1082661315,1
103,135,1082661327,1
19,52,1082661550,1
133,135,1082661558,1
103,135,1082661626,1
103,135,1082661674,1
135,133,1082661680,1
133,135,1082661744,1
36,133,1082661758,1
36,133,1082662212,1
36,133,1082663009,1
9,109,1082665072,1
9,109,1082666066,1
62,136,1082667064,1
96,32,1082667612,1
137,138,1082668657,1
96,137,1082668856,1
19,120,1082669059,1
44,90,1082669070,1
96,137,1082669084,1
137,138,1082669093,1
19,139,1082669503,1
44,60,1082670054,1
44,88,1082670146,1
44,102,1082670217,1
44,90,1082670270,1
19,111,1082670279,1
44,90,1082670485,1
9,32,1082670509,1
44,90,1082670658,1
44,90,1082670829,1
103,63,1082671042,1
103,72,1082671089,1
38,86,1082671140,1
140,105,1082671177,1
103,72,1082671667,1
38,86,1082672160,1
38,101,1082672366,1
38,101,1082673121,1
38,101,1082673163,1
103,101,1082673258,1
38,101,1082673368,1
103,101,1082673375,1
38,61,1082674333,1
75,120,1082674337,1
38,81,1082674444,1
44,141,1082674586,1
44,141,1082674682,1
44,74,1082675157,1
44,127,1082675284,1
124,135,1082677447,1
140,124,1082677812,1
19,82,1082677904,1
19,82,1082678199,1
19,82,1082678323,1
105,56,1082678526,1
19,82,1082678584,1
124,135,1082678651,1
105,58,1082678715,1
105,63,1082678729,1
19,82,1082678732,1
105,61,1082678811,1
105,135,1082678995,1
124,135,1082679313,1
71,72,1082680214,1
135,124,1082680446,1
9,32,1082680581,1
63,105,1082680607,1
72,71,1082680842,1
142,58,1082680944,1
124,135,1082681030,1
124,135,1082681219,1
143,32,1082681372,1
144,99,1082681681,1
144,105,1082681822,1
144,121,1082681956,1
9,109,1082682060,1
103,109,1082683283,1
103,63,1082683465,1
103,63,1082684176,1
103,109,1082684314,1
48,81,1082684317,1
95,81,1082684499,1
145,48,1082684541,1
95,63,1082684551,1
145,95,1082684681,1
95,109,1082684685,1
145,95,1082684813,1
145,48,1082684949,1
145,95,1082685111,1
145,48,1082685314,1
145,48,1082685456,1
95,109,1082685527,1
96,48,1082685739,1
95,109,1082685872,1
96,95,1082686140,1
96,95,1082686308,1
96,48,1082686358,1
96,95,1082686527,1
105,144,1082687754,1
105,63,1082687768,1
6,146,1082688636,1
44,60,1082709203,1
44,105,1082709245,1
63,95,1082709668,1
44,32,1082711710,1
114,105,1082713081,1
34,109,1082713259,1
36,105,1082713415,1
36,109,1082713493,1
36,147,1082713985,1
44,32,1082714593,1
19,120,1082715559,1
9,136,1082716651,1
9,148,1082716671,1
9,149,1082716729,1
9,150,1082716776,1
9,151,1082716862,1
9,152,1082716954,1
9,153,1082716974,1
9,58,1082716991,1
9,58,1082717000,1
9,135,1082717023,1
9,22,1082717044,1
9,8,1082717142,1
9,154,1082717237,1
9,121,1082717357,1
1,135,1082717993,1
3,155,1082718237,1
36,109,1082718370,1
3,155,1082718430,1
30,132,1082718884,1
3,58,1082719401,1
68,56,1082721165,1
36,156,1082724270,1
131,30,1082725134,1
101,51,1082726116,1
101,34,1082726345,1
9,8,1082726568,1
36,73,1082727611,1
96,95,1082728281,1
9,76,1082729426,1
9,8,1082729655,1
9,157,1082730498,1
19,158,1082731120,1
9,58,1082731274,1
9,32,1082731606,1
44,129,1082735858,1
105,135,1082735879,1
105,129,1082735955,1
44,129,1082736123,1
44,129,1082736176,1
44,129,1082736216,1
51,101,1082736329,1
1,159,1082736365,1
44,74,1082737862,1
44,129,1082738036,1
160,72,1082740099,1
129,8,1082740948,1
36,147,1082741242,1
36,109,1082741311,1
36,105,1082741398,1
36,129,1082741429,1
9,8,1082741464,1
34,101,1082745220,1
161,162,1082746334,1
163,72,1082747726,1
32,164,1082748705,1
58,8,1082749452,1
32,58,1082749623,1
41,76,1082749964,1
41,120,1082750036,1
41,132,1082750072,1
41,165,1082750110,1
41,166,1082750145,1
41,157,1082750164,1
41,167,1082750210,1
41,168,1082750232,1
41,169,1082750248,1
41,134,1082750278,1
56,68,1082750368,1
41,56,1082750393,1
56,154,1082750421,1
56,170,1082750496,1
56,171,1082750514,1
56,172,1082750526,1
103,101,1082750860,1
51,157,1082750965,1
32,130,1082751108,1
8,58,1082751742,1
8,164,1082751835,1
103,63,1082752582,1
103,173,1082752751,1
67,154,1082753141,1
32,26,1082753641,1
96,163,1082754961,1
9,58,1082755436,1
41,56,1082755480,1
9,20,1082755702,1
9,165,1082755743,1
9,61,1082755904,1
103,109,1082756732,1
32,155,1082756853,1
32,109,1082756917,1
32,174,1082756994,1
175,50,1082757021,1
103,85,1082757502,1
124,109,1082757593,1
164,8,1082757772,1
103,63,1082758236,1
38,128,1082758487,1
103,63,1082758510,1
103,63,1082758569,1
19,109,1082758617,1
103,63,1082758677,1
103,63,1082758753,1
161,164,1082758766,1
161,164,1082758768,1
38,109,1082758816,1
41,63,1082758848,1
103,63,1082758936,1
176,63,1082758956,1
41,63,1082758958,1
176,63,1082759050,1
41,63,1082759073,1
161,63,1082759105,1
103,63,1082759111,1
41,63,1082759116,1
176,63,1082759162,1
41,63,1082759165,1
161,63,1082759175,1
103,63,1082759190,1
32,164,1082759192,1
176,63,1082759213,1
41,63,1082759245,1
176,63,1082759303,1
41,63,1082759310,1
161,63,1082759319,1
103,63,1082759345,1
41,177,1082759370,1
41,177,1082759374,1
164,178,1082759396,1
164,177,1082759413,1
32,175,1082759425,1
32,177,1082759441,1
176,63,1082759466,1
164,179,1082759468,1
41,63,1082759506,1
32,179,1082759520,1
41,63,1082759539,1
41,63,1082759636,1
41,63,1082759659,1
41,63,1082759743,1
161,63,1082759770,1
96,164,1082759884,1
41,63,1082759998,1
41,177,1082760055,1
41,177,1082760095,1
41,63,1082760126,1
41,177,1082760151,1
41,63,1082760214,1
161,63,1082760225,1
32,177,1082760229,1
41,177,1082760239,1
32,177,1082760320,1
41,177,1082760324,1
41,63,1082760356,1
41,180,1082760371,1
32,177,1082760454,1
41,63,1082760471,1
161,63,1082760486,1
41,177,1082760490,1
41,180,1082760512,1
177,32,1082760633,1
41,63,1082760668,1
41,177,1082760685,1
180,177,1082760694,1
